,id,member_id,loan_amnt,funded_amnt,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,loan_is_bad
18415,1867247,2169614,9450,9450,226.36,C,C2,champs sports,8.0,RENT,27000.0,debt_consolidation,bills,361xx,AL,28.11,0,02-Feb,1,,,9,0,8141,50.30%,19,f,0,,INDIVIDUAL,0,0.0,21690.0,True
30728,1526416,1790781,9750,9750,351.37,D,D1,buckley   healthcare,10.0,RENT,35000.0,debt_consolidation,debt loan,013xx,MA,18.14,0,Aug-99,1,,,7,0,10910,66.10%,24,f,0,,INDIVIDUAL,0,0.0,19495.0,True
23419,1614754,1886727,6600,6600,240.24,D,D2,Sanofi US,10.0,MORTGAGE,66000.0,debt_consolidation,Debt consolidation,088xx,NJ,15.89,0,Feb-99,2,,,9,0,12556,83.20%,19,f,0,,INDIVIDUAL,0,0.0,24274.0,True
36229,1459724,1715011,10000,10000,234.4,C,C1,Monterey County Sheriff ,4.0,MORTGAGE,52000.0,debt_consolidation,Consolidation,939xx,CA,14.22,0,Jul-96,2,37.0,,17,0,7560,25.10%,31,f,0,,INDIVIDUAL,0,,,True
27957,1558281,1825325,19750,19750,697.19,C,C4,BROWARDHEALTH MEDICAL CENTER,10.0,MORTGAGE,49599.0,debt_consolidation,LESSDEBT,333xx,FL,23.25,0,04-Mar,2,,,7,0,30215,47.80%,12,f,0,,INDIVIDUAL,0,0.0,140515.0,True
30344,1531488,1795633,18000,18000,506.92,F,F1,"Attitude in Dressing, Inc",10.0,MORTGAGE,62000.0,debt_consolidation,Debt Consalidation,071xx,NJ,7.57,2,Mar-94,1,5.0,,7,0,8930,85.90%,20,f,0,19.0,INDIVIDUAL,0,0.0,205071.0,True
20056,1683425,1966124,3200,3200,108.0,B,B4,Astellas Pharma US,5.0,MORTGAGE,90000.0,debt_consolidation,Pay past due bills,211xx,MD,13.27,1,Jul-99,1,7.0,,8,0,42170,77.90%,19,f,0,,INDIVIDUAL,0,0.0,651643.0,True
5665,3096027,3768363,25000,25000,782.26,A,A4,,10.0,MORTGAGE,120000.0,credit_card,Refinancing Loan ,782xx,TX,21.8,0,Jul-78,0,,,17,0,46733,59.10%,37,f,0,,INDIVIDUAL,0,0.0,125142.0,True
10748,2435567,2917808,25000,25000,611.82,C,C4,Nationrwide Insurance,10.0,MORTGAGE,82000.0,debt_consolidation,Debt Consolidation,130xx,NY,17.81,0,Jan-96,3,59.0,,16,0,22569,58.80%,44,w,0,59.0,INDIVIDUAL,0,0.0,277697.0,True
47611,1313172,1558434,5000,5000,166.36,B,B3,St. Michael's School,8.0,RENT,26000.0,home_improvement,My home is going to be prettier!!!!,113xx,NY,23.58,0,04-Oct,0,,,10,0,12051,63.70%,15,f,0,,INDIVIDUAL,0,,,True
42460,1389729,1636093,17475,17475,487.33,E,E5,MEMORIAL MEDICAL CENTER,9.0,RENT,35000.0,credit_card,Credit card refinancing,953xx,CA,12.99,0,02-Dec,1,66.0,,16,0,10934,52%,43,f,0,,INDIVIDUAL,0,,,True
23834,1602473,1873435,10000,10000,353.01,C,C4,grainger,5.0,MORTGAGE,38000.0,debt_consolidation,Debt consolidation,644xx,MO,22.17,0,05-Feb,2,66.0,,5,0,7399,44.30%,25,f,0,,INDIVIDUAL,0,262.0,117738.0,True
35550,1467729,1724096,15350,15350,480.31,A,A4,FM Global,5.0,MORTGAGE,98500.0,small_business,My Business Loan,028xx,RI,0.3,0,Aug-96,4,,,4,0,1908,12.40%,40,f,0,,INDIVIDUAL,0,,,True
28500,1552124,1818308,2400,2400,78.74,B,B2,Berry Plastic,10.0,OWN,26000.0,major_purchase,Winter Help,215xx,MD,13.8,0,01-Jul,0,,,6,0,6117,60%,12,f,0,,INDIVIDUAL,0,0.0,8215.0,True
37509,1446548,1699344,10000,10000,337.47,B,B4,Tangence,3.0,MORTGAGE,144000.0,debt_consolidation,Personal,950xx,CA,4.69,0,Jun-97,0,32.0,104.0,6,1,14576,89.40%,16,f,0,,INDIVIDUAL,0,,,True
34980,1474459,1731921,11200,11200,377.97,B,B4,Humana,3.0,MORTGAGE,72800.0,debt_consolidation,My Debt Cosolidation Loan,403xx,KY,15.51,0,Feb-95,2,62.0,,15,0,16398,48.50%,39,f,0,62.0,INDIVIDUAL,0,100.0,212150.0,True
37962,1434909,1686400,22000,22000,549.96,C,C5,Nth Connect Telecom Inc.,8.0,RENT,62500.0,debt_consolidation,Debt Loan,940xx,CA,21.48,0,May-99,1,76.0,,9,0,14550,53.10%,21,f,0,,INDIVIDUAL,0,,,True
6255,3006467,3638804,32000,32000,1095.09,B,B5,Beth Israel Deaconess Medical Center,1.0,RENT,78540.0,debt_consolidation,Debt Consolidation,019xx,MA,11.57,0,02-Mar,0,,,6,0,21805,76.80%,11,f,0,,INDIVIDUAL,0,0.0,24879.0,True
32285,1503452,1764995,8000,8000,205.29,D,D2,Westchester Medical Center,9.0,MORTGAGE,43000.0,other,Other,109xx,NY,4.83,0,Aug-00,0,37.0,,11,0,4915,43.90%,23,f,0,37.0,INDIVIDUAL,0,0.0,217137.0,True
25612,1581793,1850932,30000,30000,1130.26,E,E2,Tioga Publishing Company,10.0,MORTGAGE,118000.0,credit_card,Unsecured Personal Loan,169xx,PA,16.91,0,Jan-92,0,,,15,0,29459,85.60%,39,w,0,,INDIVIDUAL,0,0.0,148295.0,True
48811,1291489,1536241,15000,15000,397.33,E,E1,AT&T,1.0,MORTGAGE,45000.0,debt_consolidation,debt,841xx,UT,21.17,0,05-Oct,3,,,20,0,8657,59.70%,26,f,0,,INDIVIDUAL,0,,,True
49040,1288421,1532614,1000,1000,31.3,A,A4,USMC,7.0,MORTGAGE,60000.0,other,Personal,299xx,SC,19.82,0,05-Nov,3,,,6,0,5112,57.40%,15,f,0,,INDIVIDUAL,0,,,True
46758,1324563,1569514,15000,15000,510.27,B,B5,Rent-A-Center,6.0,RENT,40000.0,debt_consolidation,Debt consolidation,339xx,FL,10.34,0,Oct-95,0,43.0,,19,0,14829,42.20%,58,f,0,,INDIVIDUAL,0,,,True
6813,3004714,3636885,9925,9925,334.94,B,B4,,,OWN,29000.0,home_improvement,repairs,441xx,OH,25.86,0,May-69,0,,,5,0,17933,92%,9,f,0,,INDIVIDUAL,0,0.0,38833.0,True
26978,1570923,1838751,18000,18000,474.09,D,D5,kaiser hospital ,10.0,MORTGAGE,49000.0,major_purchase,Major purchase,923xx,CA,28.85,1,Dec-87,0,10.0,,12,0,15738,78.30%,38,f,0,31.0,INDIVIDUAL,0,0.0,68982.0,True
23030,1620484,1892439,10225,10225,351.11,C,C1,,,MORTGAGE,38191.44,debt_consolidation,Debt Consolidation,957xx,CA,13.42,0,Jun-87,0,,,8,0,15786,71.80%,15,f,0,,INDIVIDUAL,0,0.0,15786.0,True
40338,1406756,1656134,3000,3000,101.25,B,B4,Montclair State University,1.0,RENT,26000.0,wedding,Wedding Loan,070xx,NJ,11.54,0,06-Sep,1,,,10,0,3587,39%,20,f,0,,INDIVIDUAL,0,,,True
13637,2299402,2731891,10000,10000,366.82,D,D4,comcast,10.0,RENT,70000.0,debt_consolidation,Debt Consolidation,231xx,VA,21.93,0,Jul-00,2,52.0,,10,0,6599,60%,21,f,0,,INDIVIDUAL,0,0.0,51768.0,True
31887,1513164,1775315,8000,8000,278.54,C,C2,COBALT BOATS,4.0,RENT,25000.0,other,GETTING A NEW START,673xx,KS,15.2,0,Jan-00,0,,,11,0,10894,67.70%,29,f,0,,INDIVIDUAL,0,0.0,10894.0,True
23727,1609594,1881393,18000,18000,474.09,D,D5,First Data Merchant Services,6.0,RENT,40000.0,debt_consolidation,Debt Consolidation,916xx,CA,30.24,8,02-Feb,1,10.0,,14,0,3265,50.20%,23,f,0,10.0,INDIVIDUAL,0,150.0,42513.0,True
19072,1826721,2129073,15250,15250,493.23,B,B1,R. Dean Lang DDS,1.0,RENT,50000.0,debt_consolidation,My help loan 2012,913xx,CA,22.3,0,Jun-99,2,28.0,,17,0,5860,24.70%,38,w,0,,INDIVIDUAL,0,0.0,20773.0,True
29676,1539257,1804625,8000,8000,291.19,D,D2,Marshalls ,1.0,RENT,60000.0,debt_consolidation,personal ,925xx,CA,24.42,0,05-Jul,0,,,17,0,12771,54.10%,24,f,0,,INDIVIDUAL,0,0.0,23042.0,True
22709,1617463,1889304,6000,6000,206.03,C,C1,Intermountain Centers for Human Develop,1.0,RENT,30000.0,debt_consolidation,Debt consolidation,857xx,AZ,19.36,0,02-Feb,1,25.0,,12,0,7570,39%,14,f,0,,INDIVIDUAL,0,0.0,32728.0,True
23500,1612862,1884949,20950,20950,589.99,F,F1,,,RENT,125000.0,debt_consolidation,Debt Consolidation,021xx,MA,12.51,1,Apr-00,3,12.0,,14,0,12460,72.40%,36,f,0,81.0,INDIVIDUAL,0,0.0,263788.0,True
40463,1413244,1663195,10000,10000,323.43,B,B1,Oracle America,10.0,MORTGAGE,74000.0,debt_consolidation,My Smart Loan,065xx,CT,25.88,0,Jan-96,0,,,14,0,21153,86.40%,24,f,0,,INDIVIDUAL,0,,,True
11378,2382270,2844990,6000,6000,202.49,B,B4,DUE Season Charter School,3.0,MORTGAGE,52000.0,debt_consolidation,Lending Club Consolidation Loan,077xx,NJ,24.48,4,Aug-78,1,9.0,,13,0,22119,40.40%,27,w,0,,INDIVIDUAL,0,744.0,225133.0,True
44376,1334109,1579444,16450,16450,461.66,F,F2,FlightSafety Internaional,10.0,RENT,69300.0,debt_consolidation,Loan Modification Plan,740xx,OK,27.88,0,Dec-89,2,,99.0,15,1,18490,71.40%,25,f,0,,INDIVIDUAL,0,,,True
34712,1477017,1734649,10750,10750,336.38,A,A4,Oregon Parks and Recreation Department,7.0,MORTGAGE,54000.0,debt_consolidation,Consolidation Loan,973xx,OR,19.62,0,Mar-94,0,64.0,105.0,11,1,2115,27.80%,19,f,0,,INDIVIDUAL,0,76.0,197976.0,True
32411,1505786,1766894,13250,13250,477.5,D,D1,New york Blood center,4.0,OWN,45000.0,debt_consolidation,Debt consolidation,117xx,NY,21.52,1,02-Feb,0,7.0,,14,0,2087,50.90%,22,f,0,29.0,INDIVIDUAL,0,0.0,83348.0,True
6525,3055139,3727399,35000,35000,956.55,E,E3,Ameriprise,10.0,RENT,110000.0,debt_consolidation,2013 Loan New Year,951xx,CA,16.84,0,Feb-68,1,48.0,,13,0,44414,72.20%,22,w,0,,INDIVIDUAL,0,0.0,65971.0,True
45108,1335255,1580351,6250,6250,207.95,B,B3,jc penny,3.0,RENT,35000.0,credit_card,freedom,104xx,NY,12.17,0,05-Apr,0,,,12,0,6616,31.50%,17,f,0,,INDIVIDUAL,0,,,True
32117,1489888,1749226,30000,30000,819.9,E,E3,Martin's Famous Pastry Shoppe,10.0,MORTGAGE,100000.0,credit_card,credit card consolidation,211xx,MD,21.18,1,Sep-97,1,17.0,,14,0,8492,35.20%,33,f,0,17.0,INDIVIDUAL,0,0.0,396812.0,True
24859,1588390,1858160,8325,8325,276.99,B,B3,hilltop dental laboratory,4.0,OWN,24000.0,other,Other,234xx,VA,29.12,0,05-Jun,0,56.0,,7,0,9922,55.70%,13,w,0,,INDIVIDUAL,0,0.0,17986.0,True
20302,1683354,1966051,10000,10000,307.04,A,A2,coconut creek automall,6.0,RENT,75000.0,credit_card,saving on interest,334xx,FL,10.38,0,06-Jul,2,,,10,0,4750,28.10%,17,f,0,,INDIVIDUAL,0,0.0,24728.0,True
7554,2896347,3528719,18000,18000,678.16,E,E2,,,MORTGAGE,70000.0,wedding,Wedding expenses,446xx,OH,31.03,0,Dec-92,1,,,20,0,35009,86%,51,f,0,,INDIVIDUAL,0,0.0,232394.0,True
18450,1867106,2169467,5375,5375,165.04,A,A2,County of San Diego,4.0,RENT,35000.0,other,Other,919xx,CA,32.95,0,02-Jun,2,,,21,0,6103,16%,33,f,0,,INDIVIDUAL,0,0.0,27851.0,True
30916,1524298,1726588,12800,12800,406.45,A,A5,TOP DAWG GROUP LLC,10.0,RENT,40000.0,debt_consolidation,CREDIT CARDS,440xx,OH,20.87,0,Apr-86,0,,,12,0,26618,68.80%,22,f,0,,INDIVIDUAL,0,0.0,26618.0,True
39539,1423527,1674536,30750,30750,900.58,G,G4,SSA/ODAR,10.0,MORTGAGE,130000.0,house,Home Loan-Relocation,271xx,NC,24.11,0,01-Nov,1,,,14,0,61033,97.60%,23,f,0,,INDIVIDUAL,0,,,True
1727,3159701,3872206,18250,18250,441.87,C,C3,Galpin Motors Inc.,6.0,RENT,42000.0,debt_consolidation,debt payoff,935xx,CA,19.94,0,Jul-86,0,33.0,,8,0,24730,87.70%,26,f,0,33.0,INDIVIDUAL,0,0.0,24730.0,True
24498,1600667,1871537,1350,1350,46.36,C,C1,Overlake Hospital,2.0,RENT,45000.0,medical,:),980xx,WA,7.23,0,03-Jun,0,,,5,0,5743,94.10%,19,w,0,,INDIVIDUAL,0,0.0,53323.0,True
17239,2088186,2420607,30225,30225,817.69,E,E2,Elizabeth's Pizza,10.0,MORTGAGE,68158.0,debt_consolidation,Debt Consolidation,274xx,NC,20.27,0,Jan-94,1,60.0,,10,0,50588,83.20%,32,f,0,,INDIVIDUAL,0,0.0,195162.0,True
1604,3174784,3886938,15000,15000,506.21,B,B4,mta,1.0,MORTGAGE,50000.0,credit_card,Credit card refinancing,112xx,NY,11.04,0,01-Apr,0,,,9,0,13211,68.80%,17,f,0,,INDIVIDUAL,0,0.0,104802.0,True
